GLYCOLYSIS	TCA_CYCLE	OXPHOS
HK3	CS	MT-ND1
HK1	ACLY	MT-ND2
HK2	ACO2	MT-ND3
HKDC1	ACO1	MT-ND4
GCK	IDH1	MT-ND4L
GPI	IDH2	MT-ND5
PFKM	IDH3B	MT-ND6
PFKP	IDH3G	NDUFS1
PFKL	IDH3A	NDUFS2
FBP1	OGDHL	NDUFS3
FBP2	OGDH	NDUFS4
ALDOC	DLST	NDUFS5
ALDOA	DLD	NDUFS6
ALDOB	SUCLG1	NDUFS7
TPI1	SUCLG2	NDUFS8
GAPDH	SUCLA2	NDUFV1
GAPDHS	SDHA	NDUFV2
PGK2	SDHB	NDUFV3
PGK1	SDHC	NDUFA1
PGAM1	SDHD	NDUFA2
PGAM2	FH	NDUFA3
PGAM4	MDH1	NDUFA4
ENO3	MDH2	NDUFA4L2
ENO2	PC	NDUFA5
ENO1	PCK1	NDUFA6
ENO4	PCK2	NDUFA7
PKM	PDHA2	NDUFA8
PKLR	PDHA1	NDUFA9
PDHA2	PDHB	NDUFA10
PDHA1	DLAT	NDUFAB1
PDHB	BCKDHA	NDUFA11
DLAT	BCKDHB	NDUFA12
DLD	BCKDK	NDUFA13
LDHAL6A	DBT	NDUFB1
LDHAL6B	KAT2A	NDUFB2
LDHA	MRPS36	NDUFB3
LDHB	GOT1	NDUFB4
LDHC	GOT2	NDUFB5
ADH1A	MDH1B	NDUFB6
ADH1B	NIT2	NDUFB7
ADH1C	ALDH5A1	NDUFB8
ADH7	SDHAF3	NDUFB9
ADH4	AADAT	NDUFB10
ADH5	ADHFE1	NDUFB11
ADH6	D2HGDH	NDUFC1
AKR1A1	GPT2	NDUFC2
ALDH2	KYAT3	NDUFC2-KCTD14
ALDH3A2	L2HGDH	SDHA
ALDH1B1	PHYH	SDHB
ALDH7A1	TAT	SDHC
ALDH9A1	LIPF	SDHD
ALDH3B1	ME1	UQCRFS1
ALDH3B2	ME2	MT-CYB
ALDH3A1	ME3	CYC1
ACSS1	SDHAF4	UQCRC1
ACSS2	IREB2	UQCRC2
GALM	SUCLG2P2	UQCRH
PGM1		UQCRHL
PGM2		UQCRB
G6PC1		UQCRQ
G6PC2		UQCR10
G6PC3		UQCR11
ADPGK		COX10
BPGM		MT-COX3
MINPP1		MT-COX1
PCK1		MT-COX2
PCK2		COX4I2
AAAS		COX4I1
GCKR		COX5A
GNPDA1		COX5B
GNPDA2		COX6A1
NDC1		COX6A2
NUP107		COX6B1
NUP133		COX6B2
NUP153		COX6C
NUP155		COX7A1
NUP160		COX7A2
NUP188		COX7A2L
NUP205		COX7B
NUP210		COX7B2
NUP214		COX7C
NUP35		COX8C
NUP37		COX8A
NUP42		COX11
NUP43		COX15
NUP50		COX17
NUP54		CYCS
NUP58		ATP5F1A
NUP62		ATP5F1B
NUP85		ATP5F1C
NUP88		ATP5F1D
NUP93		ATP5F1E
NUP98		ATP5PO
PFKFB1		MT-ATP6
PFKFB2		ATP5PB
PFKFB3		ATP5MC1
PFKFB4		ATP5MC2
PGM2L1		ATP5MC3
PGP		ATP5PD
POM121		ATP5ME
POM121C		ATP5MF
PPP2CA		ATP5MG
PPP2CB		ATP5PF
PPP2R1A		MT-ATP8
PPP2R1B		ATP6V1A
PPP2R5D		ATP6V1B1
PRKACA		ATP6V1B2
PRKACB		ATP6V1C2
PRKACG		ATP6V1C1
RAE1		ATP6V1D
RANBP2		ATP6V1E2
SEC13		ATP6V1E1
SEH1L		ATP6V1F
TPR		ATP6V1G1
ABCB6		ATP6V1G3
ADORA2B		ATP6V1G2
AGL		ATP6V1H
AGRN		TCIRG1
AK3		ATP6V0A2
AK4		ATP6V0A4
ALG1		ATP6V0A1
ANG		ATP6V0C
ANGPTL4		ATP6V0B
ANKZF1		ATP6V0D1
ARPP19		ATP6V0D2
ARTN		ATP6V0E1
AURKA		ATP6V0E2
B3GALT6		ATP6AP1
B3GAT1		ATP4A
B3GAT3		ATP4B
B3GNT3		ATP12A
B4GALT1		PPA2
B4GALT2		PPA1
B4GALT4		LHPP
B4GALT7		ATP6AP2
BIK		DMAC2L
BPNT1		GZMB
CACNA1H		MIR4691
CAPN5		MIR7113
CASP6		BCL2L1
CD44		BCS1L
CDK1		BEX3
CENPA		CBARP
CHPF		CNOT7
CHPF2		CYB5A
CHST1		GATB
CHST12		MBD3
CHST2		SURF1
CHST4		SURF2
CHST6		TBCB
CITED2		TMCO6
CLDN3		ABCF1
CLDN9		ACAA2
CLN6		ACADVL
COG2		AGXT
COL5A1		ALAS1
COPB2		AMT
CTH		ATP2C1
CXCR4		ATP5MPL
CYB5A		BCKDHA
DCN		BNIP3
DDIT4		BNIP3L
DEPDC1		CKMT1B
DPYSL4		CLN3
DSC2		CLPP
ECD		CYBA
EFNA3		CYP11B2
EGFR		DECR1
EGLN3		ECH1
ELF3		ECHS1
ERO1A		FH
EXT1		GATD3A
EXT2		GCSH
FAM162A		GLUD1
FKBP4		GOT2
FUT8		GPX4
G6PD		HADH
GAL3ST1		HADHA
GALE		HAX1
GALK1		HSPE1
GALK2		IDH2
GCLC		IDH3B
GFPT1		LACTB
GFUS		MAOB
GLCE		MGST1
GLRX		MRPL12
GMPPA		MRPL3
GMPPB		MTHFD2
GNE		NME4
GOT1		PCCB
GOT2		PCK2
GPC1		PRDX5
GPC3		SCP2
