"","BLCA","BRCA","CHOL","COAD","ESCA","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","READ","STAD","THCA","UCEC"
"ADH6",-0.54414832989184,-2.02305565310362,-6.85800168995259,-2.01906817229218,0.0757568530791612,-0.363459147970325,-3.9147772061485,-1.87771178643776,-2.81293292516043,-2.12488658361758,-0.395572780600325,-0.141331208160057,-0.661508551317473,-2.0903038522517,0.468514473531565,-1.42103378091752,0.097051137375507
"ALDH3B2",3.55694911219373,1.04571566795899,7.92633892093119,2.62167145114634,3.57441431266434,-0.813565448692451,-3.23651230117335,-7.05397394283091,NA,NA,2.00245513042404,4.36766781809982,1.07739615393285,3.74087568133486,1.83176326173973,5.75389055952384,4.23988512072489
"EGLN3",-0.301522279489678,1.16564313169741,2.56607515801968,-1.06131905350077,-0.0721762443277552,0.835815951781633,-0.962192426775141,4.24189701026264,0.961250688714991,0.480283035002124,2.17135492137468,2.86688282114297,-0.849638637795078,-0.882156061154408,-0.972581465281358,0.366663180486546,1.67095269103984
"VCAN",0.114258346799847,1.42899136501628,2.8590743198249,1.0274924170718,1.31031341365297,1.67449780235206,-1.72956429480504,1.98129160305061,3.07121385050601,0.36637972092627,1.30051168081925,0.677726271363444,-0.280277945893996,0.576523255980259,1.56738171560566,0.972479173353673,0.602390819600895
"G6PC",NA,NA,-6.63798945742136,NA,-3.94705464537763,NA,-9.3725579556046,-3.61459023600477,-7.51909767846405,-1.85169776741124,NA,NA,NA,NA,-3.06119316204381,NA,NA
"ALDOB",-0.183947410197216,-1.71163227634816,-9.22316112764154,0.382429281511136,-3.76183413957473,-0.207231066079844,-8.8598335496964,-5.24301992683918,-8.87381380601494,-2.72175710110464,-0.0811145665884414,-1.45967128828103,-0.0215669754729575,2.64007705952887,-2.20862700365554,-1.03980074213706,-1.82002996427309
"PKLR",3.23366746414812,1.01296656376187,-7.44551599246962,-1.56791132076916,2.74678777640743,0.896827359194906,-9.37948799952904,-0.375833939083581,-3.26180727479739,-0.863976549027896,NA,2.37249797992714,0.883161301695373,-0.0074860560142227,0.607949159867513,NA,NA
"LDHAL6B",-1.24674054628196,-1.79187819639138,-0.600241256833682,-2.24281595865811,0.159877169468977,2.22195402407868,-2.60416124515609,0.408041165770218,-1.24498800951001,NA,0.250046311424864,-0.730184175156531,-1.18051936865462,-2.82293769294424,2.03601419511726,-1.38696876722764,-1.39303860728527
"ADH1A",-3.0787389892978,-6.90820911595988,-9.26518653921718,NA,-2.03101488356508,NA,-3.87584116358775,-3.89455547875049,NA,-2.70680976372518,-4.52639500451877,-4.34104743762847,-1.29986915766269,NA,-1.56475202972221,NA,NA
"ADH1B",-8.09761349015582,-7.13914362504942,-8.72475766385113,-6.89615438911559,-5.44911783568853,-7.7972360803388,-6.4363261854407,-4.2628791771398,-5.35073741346832,-3.1412816674197,-4.86007976293407,-7.13692832941036,-1.53822215120124,-7.1305839752296,-4.37236192506701,-5.09122608012324,-9.11421976038418
"PFKFB3",-0.613958519824116,-1.75077584327732,1.35100661445195,0.621361117223856,0.135634720241427,0.226668313727707,-3.77170001435976,-0.653781777413684,-1.51518841405283,-1.28335216198151,-0.633589347486151,-0.673000936873603,-0.877306289020119,0.265251379976359,0.0237239225397552,0.432922818877227,-0.031092617744914
"AK4",-1.77837965336083,-1.57746174698945,-4.06569231286126,-0.205871662167926,-1.23421576832532,-0.19151574770785,-4.67652477761596,-0.0482768879418245,-1.53848431783874,-0.913128605373288,2.02656659334816,3.07103781404512,0.244359446415327,-0.244298452800063,-1.1303786903185,0.242847384759637,0.593404779510319
"ANG",-1.35099638925098,-0.892769876046252,-5.63718016866732,-0.694898039678453,-1.33764204481945,-0.902880775607606,-3.34553425106504,1.50717202244329,0.642727821870835,-1.86819194538135,-0.746145881390763,-2.04328687905834,-0.530039937278101,-0.948926874791095,-0.807253201616685,0.0440661553219996,-1.30371544040348
