"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0002684","BP","GO:0002684","positive regulation of immune system process",288,0.303370026759919,1.59949612426856,0.000999000999000999,0.0406787082649152,0.0379915305505142,1118,"tags=41%, list=31%, signal=31%","28816/5950/3273/28434/2302/9547/28809/28410/143662/28458/28938/79679/28392/28822/56667/28937/9173/28423/28395/640/28913/28448/154064/1907/28817/28589/11148/28815/9971/28467/28394/28388/3503/28444/28813/7499/28793/28797/970/6364/28468/1493/3539/3569/1511/5063/28442/2069/28823/28908/6469/6363/28439/28796/629/28912/50852/28825/716/338339/28299/9760/1803/3576/79931/28409/3501/715/5054/3494/3976/8876/959/7412/171389/6347/2255/3952/722/3500/7066/6387/3514/100423062/1960/3481/3495/29851/2296/3538/51435/720/64922/3502/778/7057/28408/911/6375/8600/3507/6271/51237/9258/85480/3624/2623/5579/721/1755/3493/3485/120892/5588/26253/10071/10462/9447/3598"
"GO:0005615","CC","GO:0005615","extracellular space",783,0.334391761111161,1.84014227205033,0.000999000999000999,0.0406787082649152,0.0379915305505142,1139,"tags=44%, list=32%, signal=38%","7369/28816/359/28943/6557/116085/5950/6356/3273/2939/28434/866/9547/28784/28809/7103/28410/5340/28935/1272/28458/7477/28938/6288/11181/119467/221476/28392/2525/55867/5313/6372/9356/28822/340024/28803/56667/26/2919/10562/50964/28937/4060/114794/4653/1634/26585/229/10551/8424/2938/4969/6582/28423/64388/1301/5653/28395/10158/338761/2528/9390/28913/1807/1215/28448/154064/1800/1907/28817/164312/57689/1644/2921/6340/28815/4958/1357/10344/28467/28394/28388/3503/80326/6422/6368/4316/28444/28813/7429/1805/28793/6590/3898/28797/2786/219595/671/10418/11341/9376/133121/2262/970/164656/3880/3589/5314/1474/5730/7512/64499/1356/6364/2168/2810/91703/7498/3640/10637/1066/28468/7484/8842/2331/3539/3569/3866/6374/6997/1511/3026/635/4868/28442/2069/28823/148811/5740/28908/28941/3568/51200/6469/1674/6363/28439/28796/2668/629/3918/12/2160/28912/590/28825/3671/290/716/7476/6820/7044/5502/64518/6550/7177/10267/2920/4036/6357/26002/6559/27132/7039/5243/6338/163351/27286/28299/159963/1803/1382/8029/5446/3576/28775/5265/2678/84171/53841/23767/5624/341640/434/28409/3371/3501/1462/5174/715/5054/51083/3494/125206/3976/793/5549/283375/4327/445/4070/124857/1573/6361/11240/1311/6524/959/1393/5328/9573/7412/9723/8200/2191/59272/6347/2255/51733/10841/25928/158038/56265/3952/1294/722/3500/27329/316/7066/6387/1298/8537/165/9241/3514/100423062/7980/2192/8483/6504/4025/2823/3960/6649/1621/3481/3495/54810/7480/3538/3626/3872/151449/1288/51435/319/3827/85301/3083/720/64577/2348/2674/2161/6518/6289/6565/3502/6540/127435/7057/28408/23316/6360/2662/5270/53405/3698/3242/911/116844/6375/8600/5345/3507/80736/5349/1009/25823/7373/10439/85480/5800/6285/25975/51032/3624/2628/4880/51129/5806/5579/2267/183/721/1755/335/3493/3485/6401/120892/116173/56477/5069/27240/7035/93035/283/55068/3240/3598/6519/2202/7053/352999/8644/10752/115019/7130/223117/10516"
"GO:0015075","MF","GO:0015075","ion transmembrane transporter activity",223,0.295623511841343,1.53620649305129,0.000999000999000999,0.0406787082649152,0.0379915305505142,1134,"tags=42%, list=32%, signal=31%","6568/6557/116085/10786/6564/10686/55867/9356/340024/10864/3773/479/10568/6582/9390/3787/492/6569/6340/6581/169026/9376/4948/153328/6512/777/3766/27092/2568/1180/81033/283600/220963/6332/6514/9154/2892/6550/79054/81796/54207/284525/6559/6338/159963/3758/162514/3777/11136/6545/81893/3763/284111/125206/7781/90134/283375/8913/6524/9122/57282/3760/116369/343450/3768/5026/3752/2823/348938/2898/23413/22953/55799/92745/2904/6565/778/6540/3738/53405/6327/80736/2562/5349/3351/8714/6334/5348/3788/85414/140738/6519/9389/115019"
"GO:0043230","CC","GO:0043230","extracellular organelle",455,0.284536620371257,1.53994343925085,0.000999000999000999,0.0406787082649152,0.0379915305505142,1522,"tags=53%, list=43%, signal=35%","7369/359/6557/116085/5950/3273/2939/866/7103/5340/1272/7477/6288/11181/119467/2525/55867/5313/9356/340024/26/10562/28937/4060/4653/229/8424/2938/4969/6582/10158/2528/9390/1807/1800/164312/492/1644/6340/28815/4958/3503/6422/4316/7429/6590/3898/28797/2786/219595/671/9376/133121/970/3880/5314/1474/5730/7512/1356/2168/2810/91703/8842/3539/3866/1511/635/4868/28442/148811/1674/28796/629/12/2160/28912/3671/290/7476/6820/64518/6550/4036/6559/27132/5243/6338/163351/28299/159963/1803/1382/8029/5446/5265/2678/84171/53841/341640/3501/5174/715/5054/3494/125206/793/5549/283375/445/4070/1573/11240/1311/6524/5328/7412/59272/51733/10841/3500/316/6387/8537/165/3514/100423062/2192/8483/6504/4025/2823/6649/3495/54810/3538/3872/3827/720/64577/2348/2674/2161/6518/6289/6565/3502/6540/7057/23316/5270/53405/3698/3242/116844/5345/3507/80736/5349/1009/5800/2628/5579/183/721/1755/335/3493/3485/120892/56477/27240/3240/6519/2202/7053/352999/8644/10752/115019/10516/131034/4232/259/9476/1378/930/5105/9963/6398/730/3075/1303/5327/10903/28820/358/23768/566/4311/83716/27293/2947/51050/81693/23236/388646/130/25878/9365/9245/8857/10875/3557/6505/6275/23237/347/54757/56241/683/81618/5169/55/2199/7171/5836/87769/710/7473/2819/5742/340706/89780/9687/29763/53347/57402/1368"
"GO:0044281","BP","GO:0044281","small molecule metabolic process",372,0.287810537053472,1.53596272546762,0.000999000999000999,0.0406787082649152,0.0379915305505142,1001,"tags=35%, list=28%, signal=28%","79799/6568/116085/5950/10331/348158/10786/123876/1591/7021/57016/64902/339761/55867/5313/10249/3037/4060/79849/1634/89792/2538/51179/229/2938/4969/58510/2528/9390/1807/1800/170685/1907/7306/1644/6569/339896/4958/9971/1579/1610/3036/2731/55586/130013/55301/219595/125/5730/79625/2168/7498/2327/1066/392636/2331/7364/83539/53630/134526/635/3356/2326/148811/5740/220963/3208/54578/6820/5625/92292/4036/189/26002/7274/169355/1382/8029/5446/2678/6545/9348/4842/27294/1462/26289/205/79966/4143/5549/341392/445/8876/1573/1036/4051/4166/51733/10841/3952/27329/316/3172/10941/5209/1581/108/4025/158471/1621/3481/124/5745/126410/319/64577/2348/7262/3067/2529/66002/117283/4837/51268/3698/3242/1545/80339/92483/5354/55350/6716"
"GO:0044421","CC","GO:0044421","extracellular region part",834,0.324026753847412,1.78663615066968,0.000999000999000999,0.0406787082649152,0.0379915305505142,1139,"tags=43%, list=32%, signal=38%","7369/28816/359/28943/6557/116085/5950/6356/3273/2939/28434/866/9547/28784/28809/7103/28410/5340/28935/1272/28458/7477/28938/6288/11181/119467/221476/28392/2525/55867/5313/6372/9356/28822/340024/28803/56667/26/2919/10562/50964/28937/4060/114794/4653/1634/26585/229/10551/8424/2938/4969/6582/28423/64388/1301/5653/28395/10158/338761/2528/9390/28913/1807/1215/28448/154064/1800/1907/28817/164312/492/57689/1644/2921/6340/28815/4958/1357/10344/28467/28394/28388/3503/80326/6422/6368/4316/28444/28813/7429/1805/28793/6590/3898/28797/2786/219595/671/10418/11341/9376/133121/2262/970/164656/3880/3589/5314/1474/5730/7512/79625/64499/1356/6364/2168/4239/2810/91703/7498/3640/10637/1000/1066/28468/7484/8842/2331/3539/3569/3866/6374/6997/1511/3026/635/4868/28442/2069/28823/148811/5740/28908/28941/3568/51200/6469/1674/6363/28439/28796/2668/629/3918/12/2160/28912/590/28825/3671/8076/290/716/7476/6820/7044/5502/64518/6550/7177/10267/2920/4036/6357/26002/6559/27132/7039/5243/6338/163351/27286/28299/159963/1803/1382/8029/5446/3576/28775/5265/2678/84171/53841/23767/5624/341640/434/28409/3371/3501/1462/5174/715/5054/51083/3494/125206/3976/793/5549/283375/4327/445/4070/124857/1573/6361/11240/1311/6524/959/1393/5328/9573/7412/9723/8200/2191/59272/6347/2201/2255/51733/10841/25928/158038/56265/3952/1294/722/3500/27329/316/7066/6387/1298/2949/8537/165/9241/3514/100423062/7980/2192/63876/157869/8483/6504/4025/2823/3960/6649/1621/3481/3495/54810/7480/3538/3626/3872/151449/5803/1288/51435/319/3827/85301/3083/720/64577/2348/2674/2161/60495/6518/6289/6565/3502/4052/6540/127435/7057/28408/23316/6360/2662/5270/53405/3698/3242/911/116844/6375/8600/5345/3507/80736/5349/1009/25823/7373/10439/85480/5800/6285/25975/51032/3624/2628/4880/51129/7058/5806/5579/2267/183/721/1755/335/3493/3485/6401/120892/116173/56477/5069/27240/7035/93035/3914/283/55068/3240/3598/6519/2202/7053/352999/8644/10752/115019/7130/223117/10516"
"GO:0044459","CC","GO:0044459","plasma membrane part",785,0.251157380023695,1.38159500404032,0.000999000999000999,0.0406787082649152,0.0379915305505142,1138,"tags=36%, list=32%, signal=32%","7369/359/6568/115701/6557/116085/10331/28434/10786/7103/149461/28410/5340/6564/1272/2045/28458/79679/11181/5731/6445/28392/55867/9356/340024/10864/56667/8549/3773/479/3037/10568/79849/9173/6582/28423/768/28395/28680/640/9390/28448/154064/1800/192668/3787/28568/164312/5746/57689/28589/6569/6340/11148/2707/6581/5593/2705/5156/1579/28467/28394/28388/3503/28444/127534/3036/7499/2786/9376/339221/2262/970/3880/5314/24/2676/9074/361/91703/2322/1000/9378/28468/8842/133396/1493/3539/3569/777/1812/6997/28652/3766/2706/3356/27092/4868/2568/1180/81033/28442/2069/5740/3357/3568/4915/1233/220963/2845/2740/28439/2261/9427/84634/6332/6514/3208/50852/6755/9154/290/6900/2892/6550/10267/3352/2206/815/23017/4036/79054/81796/54207/6559/28614/7039/5243/6338/27286/159963/1803/3758/8029/64220/1804/162514/53841/4914/23767/23109/3777/11136/2847/28409/5099/150084/4842/3763/91584/3501/5174/3494/64240/7781/55966/1821/80835/90134/56142/5737/283375/2596/4070/8745/8913/401190/57863/10100/959/9122/7412/9723/57282/2191/59272/56137/3760/54084/287/3500/55612/116369/28567/6387/64084/5026/222865/3514/108/100423062/3752/4025/9358/2823/2898/23413/3495/29851/3538/4889/9495/5745/22953/55799/5803/2348/2674/6857/92745/2904/8061/66002/6518/6565/3502/778/6540/3738/7057/28408/27334/5270/53405/4547/911/6976/23601/8600/3507/273/6327/5101/57528/92211/80736/2562/5349/1009/25823/84251/5800/846/2264/3351/8714/6334/152/28666/1755/84636/10886/3493/3485/64446/6401/120892/22801/5348/5588/27240/3788/7035/10071/79953/55068/9076/3598/6519/1089/7053/64399/9389/115019/2204/223117"
"GO:0070062","CC","GO:0070062","extracellular exosome",448,0.285080407864571,1.54168367209524,0.000999000999000999,0.0406787082649152,0.0379915305505142,1225,"tags=43%, list=34%, signal=32%","7369/359/6557/116085/5950/3273/2939/866/7103/5340/1272/7477/6288/11181/119467/2525/55867/5313/9356/340024/26/10562/28937/4060/4653/229/8424/2938/4969/6582/10158/2528/9390/1807/1800/164312/1644/6340/28815/4958/3503/6422/4316/7429/6590/3898/28797/2786/219595/671/9376/133121/970/3880/5314/1474/5730/7512/1356/2168/2810/91703/8842/3539/3866/1511/635/4868/28442/148811/1674/28796/629/12/2160/28912/3671/290/7476/6820/64518/6550/4036/6559/27132/5243/6338/163351/28299/159963/1803/1382/8029/5446/5265/2678/84171/53841/341640/3501/5174/715/5054/3494/125206/793/5549/283375/445/4070/1573/11240/1311/6524/5328/7412/59272/51733/10841/3500/316/6387/8537/165/3514/100423062/2192/8483/6504/4025/2823/6649/3495/54810/3538/3872/3827/720/64577/2348/2674/2161/6518/6289/6565/3502/6540/7057/23316/53405/3698/3242/116844/5345/3507/80736/5349/1009/5800/2628/5579/183/721/1755/335/3493/3485/120892/56477/27240/3240/6519/2202/7053/352999/8644/10752/115019/10516/131034/4232/259/9476/1378/930/5105/9963/6398/730/3075/1303/5327"
"GO:1903561","CC","GO:1903561","extracellular vesicle",454,0.283772105627419,1.53555401232971,0.000999000999000999,0.0406787082649152,0.0379915305505142,1522,"tags=52%, list=43%, signal=34%","7369/359/6557/116085/5950/3273/2939/866/7103/5340/1272/7477/6288/11181/119467/2525/55867/5313/9356/340024/26/10562/28937/4060/4653/229/8424/2938/4969/6582/10158/2528/9390/1807/1800/164312/492/1644/6340/28815/4958/3503/6422/4316/7429/6590/3898/28797/2786/219595/671/9376/133121/970/3880/5314/1474/5730/7512/1356/2168/2810/91703/8842/3539/3866/1511/635/4868/28442/148811/1674/28796/629/12/2160/28912/3671/290/7476/6820/64518/6550/4036/6559/27132/5243/6338/163351/28299/159963/1803/1382/8029/5446/5265/2678/84171/53841/341640/3501/5174/715/5054/3494/125206/793/5549/283375/445/4070/1573/11240/1311/6524/5328/7412/59272/51733/10841/3500/316/6387/8537/165/3514/100423062/2192/8483/6504/4025/2823/6649/3495/54810/3538/3872/3827/720/64577/2348/2674/2161/6518/6289/6565/3502/6540/7057/23316/5270/53405/3698/3242/116844/5345/3507/80736/5349/1009/5800/2628/5579/183/721/1755/335/3493/3485/120892/56477/27240/3240/6519/2202/7053/352999/8644/10752/115019/10516/131034/4232/259/9476/1378/930/5105/9963/6398/730/3075/1303/5327/10903/28820/358/23768/566/4311/83716/27293/2947/51050/81693/23236/130/25878/9365/9245/8857/10875/3557/6505/6275/23237/347/54757/56241/683/81618/5169/55/2199/7171/5836/87769/710/7473/2819/5742/340706/89780/9687/29763/53347/57402/1368"
"GO:0006082","BP","GO:0006082","organic acid metabolic process",230,0.377633526956616,1.9643955136062,0.001,0.0406787082649152,0.0379915305505142,996,"tags=43%, list=28%, signal=33%","79799/6568/116085/10331/348158/10786/123876/64902/339761/55867/5313/10249/3037/4060/1634/2538/51179/229/2938/4969/58510/1807/1800/1907/7306/1644/6569/339896/4958/9971/1579/1610/3036/2731/130013/55301/219595/125/5730/79625/2168/2327/1066/2331/7364/83539/134526/635/3356/2326/148811/5740/220963/54578/6820/5625/92292/189/169355/1382/5446/2678/6545/9348/4842/1462/79966/4143/5549/341392/445/8876/1573/1036/4051/4166/51733/10841/3952/27329/3172/10941/5209/1581/4025/158471/124/126410/64577/2348/3067/66002/51268/3698/3242/1545/80339/92483/5354/55350"
"GO:0043436","BP","GO:0043436","oxoacid metabolic process",219,0.350610208922178,1.8189023797868,0.001,0.0406787082649152,0.0379915305505142,996,"tags=42%, list=28%, signal=32%","79799/10331/348158/123876/64902/339761/5313/10249/3037/4060/1634/51179/229/2938/4969/58510/1807/1800/1907/7306/1644/6569/339896/4958/9971/1579/1610/3036/2731/130013/55301/219595/125/5730/79625/2168/1066/2331/7364/83539/134526/635/3356/148811/5740/54578/6820/5625/92292/189/169355/1382/5446/2678/6545/9348/4842/1462/79966/4143/5549/341392/445/8876/1573/1036/4051/4166/51733/10841/3952/27329/3172/10941/5209/1581/158471/124/126410/64577/2348/3067/66002/51268/3698/3242/1545/80339/92483/5354/55350"
"GO:0098657","BP","GO:0098657","import into cell",237,0.340641249845182,1.77638841936783,0.001,0.0406787082649152,0.0379915305505142,1169,"tags=47%, list=33%, signal=34%","28816/6557/28434/28809/28410/28458/28938/6288/28392/28822/3773/479/28937/26585/28423/28395/28913/28448/28817/6457/6569/28815/6581/28467/28394/28388/3503/28444/28813/28793/28797/6512/28468/3539/1812/3766/27092/28442/28823/28908/3357/6469/6363/28439/28796/114786/2668/53353/3208/28912/28825/6900/6550/10267/4036/284525/6559/28299/90019/3758/8029/3576/84171/28409/4842/3763/3501/5054/3494/283375/22925/6347/3760/287/3952/722/3500/3768/56649/3514/100423062/157869/6504/3495/3538/51435/720/2348/6857/6518/3502/7057/28408/3507/273/84251/5806/3351/183/721/1755/335/3493/6401/120892/3240/10462/1089/134/9902/259/22871"
"GO:0050778","BP","GO:0050778","positive regulation of immune response",206,0.315857340865883,1.63249520498104,0.001001001001001,0.0406787082649152,0.0379915305505142,474,"tags=25%, list=13%, signal=23%","28816/3273/28434/28809/28410/143662/28458/28938/79679/28392/28822/56667/28937/28423/28395/640/28913/28448/154064/28817/28589/11148/28815/9971/28467/28394/28388/3503/28444/28813/28793/28797/28468/1493/3539/3569/1511/5063/28442/2069/28823/28908/6363/28439/28796/629/28912/50852/28825/716/338339"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",188,0.352935458275533,1.81625797153605,0.00100200400801603,0.0406787082649152,0.0379915305505142,1201,"tags=48%, list=34%, signal=34%","28816/28434/2302/28809/28410/28458/28938/5317/28392/6372/28822/26/2919/10562/28937/28423/28395/28913/28448/154064/28817/28815/28467/28394/28388/3503/28444/28813/28793/6590/28797/671/970/28468/3539/3569/1511/28442/28823/28908/28439/28796/12/28912/28825/290/716/338339/28299/5265/4257/28409/3501/715/3494/8876/11240/959/5328/3952/722/3500/3514/100423062/1621/3495/3538/720/6518/3502/28408/911/116844/6375/23601/3507/5806/721/3493/199675/1084/3240/3598/2204/7130/55061/1378/930/6283/3575"
"GO:0006897","BP","GO:0006897","endocytosis",190,0.349880267032974,1.801903004301,0.00100200400801603,0.0406787082649152,0.0379915305505142,1169,"tags=48%, list=33%, signal=34%","28816/28434/28809/28410/28458/28938/6288/28392/28822/28937/26585/28423/28395/28913/28448/28817/6457/28815/28467/28394/28388/3503/28444/28813/28793/28797/28468/3539/27092/28442/28823/28908/3357/6469/6363/28439/28796/114786/53353/3208/28912/28825/6900/10267/4036/28299/90019/8029/3576/84171/28409/3501/5054/3494/22925/6347/287/3952/722/3500/56649/3514/100423062/157869/6504/3495/3538/51435/720/2348/6857/3502/7057/28408/3507/273/84251/5806/3351/721/1755/335/3493/6401/120892/3240/10462/1089/134/9902/259/22871"
"GO:0009617","BP","GO:0009617","response to bacterium",180,0.324516715041867,1.66654223070288,0.00100200400801603,0.0406787082649152,0.0379915305505142,1119,"tags=45%, list=31%, signal=33%","28434/28410/28458/5731/28392/6372/2919/1634/28423/28395/58985/28448/2921/9971/28467/28394/28388/3503/28444/7429/6590/671/6364/28468/3539/3569/6374/1511/2706/2326/28442/1233/28439/6332/28912/338339/2920/163351/8029/3576/2678/4257/27063/79931/28409/4842/3501/5054/3494/5737/445/4129/7412/171389/342979/6347/2255/9590/722/3500/3514/100423062/4025/2823/3495/3538/3502/28408/116844/3507/721/129530/1755/3493/6401/114132/7035/26253/3240/9076/83998"
"GO:0019752","BP","GO:0019752","carboxylic acid metabolic process",192,0.345817615124981,1.78282922861614,0.00100200400801603,0.0406787082649152,0.0379915305505142,1147,"tags=46%, list=32%, signal=33%","79799/348158/123876/64902/339761/5313/10249/3037/1634/51179/229/2938/58510/1807/1800/1907/7306/1644/6569/339896/9971/1579/1610/3036/2731/130013/55301/219595/125/5730/2168/1066/7364/134526/635/3356/148811/5740/54578/5625/92292/189/169355/1382/5446/2678/6545/4842/1462/79966/4143/341392/445/8876/1573/1036/4051/51733/10841/3952/27329/3172/10941/5209/1581/124/126410/64577/2348/3067/66002/51268/3698/3242/1545/80339/92483/5354/55350/2628/2264/79814/1582/85414/6519/8644/443/1906"
"GO:0030162","BP","GO:0030162","regulation of proteolysis",170,0.34365636570131,1.75703467393167,0.00100300902708124,0.0406787082649152,0.0379915305505142,1252,"tags=49%, list=35%, signal=34%","28816/3273/28434/866/28809/2045/7021/28938/221476/28392/28822/28937/28395/28913/1800/28817/28815/28394/3503/28813/7429/28793/6590/28797/10418/1474/2168/2810/7498/3539/28442/28823/28908/6469/28439/28796/629/12/28912/28825/716/6900/28299/5265/3501/715/5054/124857/7850/1294/722/3500/9705/3514/7980/2192/7480/3538/3827/720/2161/2904/3502/7057/5270/3698/5345/26577/2264/183/721/120892/7035/9447/55061/259/1378/930/89932/730/3075/5327/28820/358"
"GO:0050865","BP","GO:0050865","regulation of cell activation",170,0.329642629313776,1.68538571525753,0.00100300902708124,0.0406787082649152,0.0379915305505142,1088,"tags=42%, list=31%, signal=31%","3273/28434/2302/28410/28458/79679/28392/9173/28423/28395/28448/4004/11148/8456/5156/28467/28394/28388/3503/6422/28444/671/970/28468/133396/1493/3539/3569/5063/28442/6469/6363/28439/338339/9760/1803/28409/3501/51083/3494/1840/8876/959/7412/6347/2255/3952/3500/3514/100423062/1960/3481/3495/29851/3538/3502/7057/28408/5270/6375/8600/3507/51237/9258/85480/3624/2267/3493/3485/120892/5588/27240"
