"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0050896","BP","GO:0050896","response to stimulus",682,0.229355092422638,2.19965437075842,0.00110132158590308,0.0224662119329564,0.0177231373689949,452,"tags=39%, list=32%, signal=52%","11075/3381/387695/28610/6374/28629/6423/28454/2637/5968/28646/2173/4885/3776/28455/1470/7045/28464/28584/1401/28656/440068/28834/6037/28391/28659/28906/28660/28626/28773/28663/28466/28452/2147/27299/28875/1301/6288/28424/28609/9340/28414/768/28401/28647/6362/28573/90019/28907/28667/28385/28804/28826/5967/28688/28426/28882/28772/84634/2847/28655/3933/79541/7032/5744/28693/28774/1134/28938/28622/28904/28458/5798/28574/28776/1277/28676/3240/718/22986/28669/28692/28785/53833/28876/2853/28809/28445/28594/970/1237/28814/28396/115908/28691/28473/28672/28937/27181/28563/28468/28467/10481/1746/28666/28784/28640/28874/28617/28680/28802/10874/28935/6956/28601/28941/28444/28943/5367/10563/28940/28423/28685/28395/7857/28690/28450/5320/91683/2838/28657/2662/28644/3362/56033/4015/28796/28825/28592/26279/115273/8973/28394/28822/28518/28661/28791/3929/28581/8600/28388/28449/28670/28448/28682/8532/28583/2596/28689/10631/28793/28577/2191/28913/57817/28673/4747/28942/28569/4920/6372/28457/28461/2266/28816/28620/6289/28616/114/28400/3458/28420/85329/28781/28823/79290/28674/3356/28619/28923/6121/28797/28677/4316/28817/28442/28606/28902/2056/6036/7138/2244/7130/28803/28576/28602/28439/28434/5266/28412/28392/28908/28815/2865/4837/57824/28683/3822/1289/1278/28813/1588/338/79054/80070/1235/5553/270/28299/28568/28919/3624/28658/100423062/4318/6664/28653/79444/3539/28671/28558/2243/6978/9358/643/22891/28775/7471/4060/5228/716/9355/28611/28557/3502/1281/3503/203100/54209/3581/26585/3075/5322/9447/3484/838/28912/28589"
"GO:0005576","CC","GO:0005576","extracellular region",478,0.227470329293959,2.14724090188717,0.00111482720178372,0.0224662119329564,0.0177231373689949,524,"tags=47%, list=37%, signal=45%","389336/117156/3381/387695/6374/1462/147920/6423/22917/28454/5968/4885/154754/28455/1470/7045/28464/1401/28834/6037/28391/28906/51200/28773/28466/28452/2147/27299/28875/1301/6288/280664/28424/28414/28401/6362/28907/28385/28804/28826/153218/5967/28426/28882/28772/3933/7032/5744/28774/28938/3882/8038/28904/28458/1356/28776/1277/3240/718/28669/28785/128646/28876/28809/28445/970/28814/28396/115908/7058/28691/28473/28937/10878/28468/28467/28784/338879/131578/28874/28802/10874/28935/28941/28444/28943/5367/10563/28940/28423/8689/28395/7857/28450/5320/2662/28644/4015/28796/28825/26279/28394/28822/28518/28791/3929/8600/28388/28449/28448/8532/1833/10631/1758/28793/2191/28913/57817/285643/80831/28942/54102/6372/28457/28461/2266/28816/84624/6289/28400/3458/28420/28781/28823/28923/28797/23627/28677/4316/28817/28442/28902/2056/6036/2244/7130/28803/1404/79883/28439/28434/5266/28412/57689/28392/28908/28815/10882/132332/127435/1289/1278/28813/149998/338/80070/946/5553/28299/28919/3624/100423062/4318/3539/3887/2243/9358/51050/28775/1300/402665/7471/4060/5228/716/8076/3502/1281/4224/3503/203100/54209/3581/26585/3075/5322/140766/3484/28912/3494/1311/28409/151887/72/3514/3500/2331/4325/715/3250/11341/3501/25903/247/3952/3558/176/50863/414196/3538/6363/1295/2214/23213/3493/8701/6447"
"GO:0005886","CC","GO:0005886","plasma membrane",547,0.226001788899779,2.15439974915591,0.00111731843575419,0.0224662119329564,0.0177231373689949,407,"tags=38%, list=29%, signal=44%","28610/28629/22917/28454/28646/4885/3776/28455/7045/9333/28464/28584/150165/28656/222865/28834/28391/28659/28906/28660/222662/28626/28773/28663/28466/28452/2147/28875/28424/28609/9340/28414/768/28401/28647/28573/90019/28907/28667/28385/28804/28826/5967/28688/28426/28882/28772/84634/2847/57863/28655/79541/89822/28693/28774/1134/28938/8038/28622/28904/28458/1356/5798/28574/28776/145270/28676/718/22986/28669/28692/28785/128646/53833/28876/2853/28809/28445/28594/970/1237/28814/28396/28691/28473/28672/28937/57722/28563/28468/28467/3787/28666/28784/28640/28874/28617/28680/28802/28935/6956/28601/28941/28444/28943/28940/28423/28685/28395/28690/28450/5320/91683/2838/28657/28644/3362/28796/28825/340547/28592/115273/8973/28394/28822/28518/28661/28791/28581/8600/28388/28449/28670/28448/28682/28583/2596/28689/28793/28577/2191/28913/28673/28942/28569/54102/4920/28457/28461/2266/28816/28620/28616/114/28400/28420/28781/28823/79290/28674/3356/28619/28923/6121/28797/23627/28677/28817/28442/28606/28902/2244/28803/28576/28602/28439/28434/5266/28412/57689/28392/28908/28815/2865/8941/92211/28683/3822/28813/149998/338/79054/946/1235/28299/344838/28568/28919/28658/100423062/28653/3539/28671/28558/2243/6978/9358"
"GO:0071944","CC","GO:0071944","cell periphery",556,0.222807434379406,2.11791336516616,0.00112359550561798,0.0224662119329564,0.0177231373689949,407,"tags=38%, list=29%, signal=44%","28610/28629/22917/28454/28646/2173/4885/3776/28455/7045/9333/28464/28584/150165/28656/222865/28834/28391/28659/28906/28660/222662/28626/28773/28663/28466/28452/2147/28875/28424/28609/9340/28414/768/28401/28647/28573/90019/28907/28667/28385/28804/28826/5967/28688/28426/28882/28772/84634/2847/57863/28655/79541/89822/28693/28774/1134/28938/8038/28622/28904/28458/1356/5798/28574/28776/145270/28676/718/22986/28669/28692/28785/128646/53833/28876/2853/28809/28445/28594/970/1237/28814/28396/28691/28473/28672/28937/57722/28563/28468/28467/3787/28666/28784/28640/28874/28617/28680/28802/28935/6956/28601/28941/28444/28943/28940/28423/28685/28395/28690/28450/5320/91683/2838/28657/28644/3362/28796/28825/340547/28592/115273/8973/28394/28822/28518/28661/28791/28581/8600/28388/28449/28670/28448/28682/28583/2596/28689/28793/28577/2191/28913/57817/28673/28942/28569/54102/4920/28457/28461/2266/28816/28620/28616/114/28400/28420/28781/28823/79290/28674/3356/28619/28923/6121/28797/23627/28677/28817/28442/28606/28902/2244/28803/28576/28602/28439/28434/5266/28412/57689/28392/28908/28815/2865/8941/92211/28683/3822/28813/149998/338/79054/946/1235/28299/344838/28568/28919/28658/100423062/28653/3539/28671/28558/2243/6978/9358"
"GO:0044421","CC","GO:0044421","extracellular region part",415,0.232771721749819,2.1487607821912,0.0011441647597254,0.0224662119329564,0.0177231373689949,444,"tags=42%, list=31%, signal=41%","389336/117156/3381/387695/6374/1462/147920/6423/22917/28454/5968/154754/28455/1470/7045/28464/1401/28834/6037/28391/28906/51200/28773/28466/28452/2147/27299/28875/1301/6288/28424/28414/28401/6362/28907/28385/28804/28826/5967/28426/28882/28772/3933/7032/5744/28774/28938/3882/28904/28458/1356/28776/1277/3240/718/28669/28785/28876/28809/28445/970/28814/28396/115908/7058/28691/28473/28937/10878/28468/28467/28784/131578/28874/28802/28935/28941/28444/28943/10563/28940/28423/8689/28395/7857/28450/5320/2662/28644/4015/28796/28825/28394/28822/28518/28791/3929/8600/28388/28449/28448/8532/10631/1758/28793/2191/28913/57817/285643/28942/54102/6372/28457/28461/2266/28816/6289/28400/3458/28420/28781/28823/28923/28797/28677/4316/28817/28442/28902/2056/6036/2244/7130/28803/1404/79883/28439/28434/5266/28412/57689/28392/28908/28815/127435/1289/1278/28813/149998/338/80070/5553/28299/28919/3624/100423062/4318/3539/3887/2243/51050/28775/1300/7471/4060/5228/716/8076/3502/1281/4224/3503/3581/26585/3075"
"GO:0005615","CC","GO:0005615","extracellular space",398,0.225462659234452,2.0798319079373,0.0011454753722795,0.0224662119329564,0.0177231373689949,420,"tags=40%, list=30%, signal=39%","389336/117156/3381/387695/6374/1462/147920/6423/28454/5968/154754/28455/1470/7045/28464/1401/28834/6037/28391/28906/51200/28773/28466/28452/2147/28875/1301/6288/28424/28414/28401/6362/28907/28385/28804/28826/5967/28426/28882/28772/3933/7032/5744/28774/28938/3882/28904/28458/1356/28776/1277/3240/718/28669/28785/28876/28809/28445/970/28814/28396/115908/28691/28473/28937/10878/28468/28467/28784/131578/28874/28802/28935/28941/28444/28943/10563/28940/28423/8689/28395/7857/28450/5320/2662/28644/4015/28796/28825/28394/28822/28518/28791/3929/8600/28388/28449/28448/8532/10631/28793/2191/28913/57817/28942/54102/6372/28457/28461/2266/28816/6289/28400/3458/28420/28781/28823/28923/28797/28677/4316/28817/28442/28902/2056/6036/2244/7130/28803/28439/28434/28412/57689/28392/28908/28815/127435/1289/1278/28813/149998/338/80070/5553/28299/28919/3624/100423062/4318/3539/3887/2243/51050/28775/1300/7471/4060/5228/716"
"GO:0002376","BP","GO:0002376","immune system process",373,0.418277803222287,3.82494293691098,0.00115207373271889,0.0224662119329564,0.0177231373689949,452,"tags=56%, list=32%, signal=52%","387695/28610/6374/28629/6423/28454/5968/28646/28455/28464/28584/1401/28656/28834/6037/28391/28659/28906/28660/28626/28773/28663/28466/28452/2147/27299/28875/6288/28424/28609/28414/28401/28647/6362/28573/28907/28667/28385/28804/28826/5967/28688/28426/28882/28772/28655/28693/28774/28938/28622/28904/28458/28574/28776/1277/28676/3240/718/28669/28692/28785/53833/28876/28809/28445/28594/970/1237/28814/28396/28691/28473/28672/28937/28563/28468/28467/28666/28784/28640/28874/28617/28680/28802/28935/6956/28601/28941/28444/28943/10563/28940/28423/28685/28395/7857/28690/28450/5320/2838/28657/28644/56033/4015/28796/28825/28592/26279/28394/28822/28518/28661/28791/3929/28581/8600/28388/28449/28670/28448/28682/28583/28689/28793/28577/28913/57817/28673/285643/28942/28569/4920/6372/28457/28461/2266/28816/28620/28616/28400/3458/28420/28781/28823/28674/28619/28923/28797/28677/28817/28442/28606/28902/2056/6036/2244/7130/28803/28576/28602/28439/28434/5266/28412/28392/28908/28815/2865/57824/28683/3822/1278/28813/1588/338/1235/5553/28299/28568/28919/3624/28658/100423062/4318/6664/28653/3539/28671/28558/2243/6978/643/28775/7471/5228/716/28611/28557/8076/3502/1281/3503/54209/26585/3075/9447/28912/28589"
"GO:0048583","BP","GO:0048583","regulation of response to stimulus",313,0.224573948105407,2.0033844831404,0.00117370892018779,0.0224662119329564,0.0177231373689949,792,"tags=71%, list=56%, signal=40%","6423/28454/2173/4885/3776/28455/28464/1401/28834/28391/28466/28452/2147/6288/28424/28414/28401/6362/90019/28907/28385/28426/28938/28458/28776/1277/718/53833/28876/28809/28445/28396/115908/28473/28937/28468/28467/1746/28874/28444/10563/28940/28423/28395/7857/28450/5320/91683/2662/3362/56033/4015/28796/28825/8973/28394/28822/28791/3929/8600/28388/28449/28448/28682/10631/28793/28577/2191/28913/57817/4747/4920/6372/28457/28461/2266/28816/114/28400/3458/28420/28823/3356/28797/28817/28442/2056/7138/2244/7130/28439/28434/28412/28392/28908/28815/2865/1278/28813/1588/338/80070/1235/28299/28919/3624/100423062/4318/6664/28653/79444/3539/2243/22891/7471/5228/716/3502/1281/3503/203100/54209/26585/3075/5322/9447/3484/28912/28589/3494/28409/2903/3514/221336/3500/715/5396/2844/3501/861/247/3952/3558/3538/6363/2214/23213/3493/28410/3559/9096/28820/3904/29851/1745/10673/11006/51284/2209/23547/10071/717/338557/51311/1029/257101/1749/2335/3507/6370/8832/909/170482/23532/11211/28408/2213/27255/6474/8740/89790/7076/713/7850/79931/5176/56729/2206/5169/84636/80243/81793/11326/7941/714/199713/5054/3640/84433/4062/116844/93978/10846/129293/3903/26281/3486/2359/5740/4504/2250/114897/145258/56833/9290/50852/4684/2252/3071/407040/6357"
"GO:0006955","BP","GO:0006955","immune response",324,0.453525073095761,4.06114752509591,0.00117785630153121,0.0224662119329564,0.0177231373689949,556,"tags=68%, list=39%, signal=53%","28610/6374/28629/28454/5968/28646/28455/28464/28584/1401/28656/28834/6037/28391/28659/28906/28660/28626/28773/28663/28466/28452/2147/27299/28875/6288/28424/28609/28414/28401/28647/6362/28573/28907/28667/28385/28804/28826/5967/28688/28426/28882/28772/28655/28693/28774/28938/28622/28904/28458/28574/28776/1277/28676/3240/718/28669/28692/28785/53833/28876/28809/28445/28594/970/1237/28814/28396/28691/28473/28672/28937/28563/28468/28467/28666/28784/28640/28874/28617/28680/28802/28935/6956/28601/28941/28444/28943/10563/28940/28423/28685/28395/28690/28450/5320/28657/28644/28796/28825/28592/28394/28822/28518/28661/28791/3929/28581/8600/28388/28449/28670/28448/28682/28583/28689/28793/28577/28913/57817/28673/28942/28569/6372/28457/28461/2266/28816/28620/28616/28400/3458/28420/28781/28823/28674/28619/28923/28797/28677/28817/28442/28606/28902/6036/2244/7130/28803/28576/28602/28439/28434/5266/28412/28392/28908/28815/2865/57824/28683/3822/1278/28813/338/1235/5553/28299/28568/28919/28658/100423062/4318/28653/3539/28671/28558/2243/6978/643/28775/716/28611/28557/3502/1281/3503/54209/3075/9447/28912/28589/3494/28409/3514/3500/715/3501/861/3952/28614/3558/28603/3538/6363/2214/3493/28586/28410/3559/28820/6974/3110/3904/29851/28662/28567/10673/5657/11006"
"GO:0032991","CC","GO:0032991","protein-containing complex",346,0.384998089671901,3.46287246663583,0.00118203309692671,0.0224662119329564,0.0177231373689949,531,"tags=61%, list=38%, signal=51%","28610/28629/28454/28646/3776/28455/28464/28584/28656/440068/28834/28391/28659/2019/28906/28660/28626/28773/28663/28466/28452/28875/1301/6288/28424/28609/28414/28401/28647/28573/28907/28667/28385/28826/5967/28688/28426/28882/28772/28655/28693/28774/1134/28938/28622/28904/28458/28574/28776/1277/28676/3240/718/28669/28692/28785/28876/28809/28445/28594/28814/28396/115908/28691/28473/28672/28937/28563/28468/28467/10481/3787/28666/28784/28640/28874/28617/28680/28802/28935/6956/28601/28941/28444/28943/28940/28423/28685/28395/28690/28450/28657/28644/4015/28796/28825/28592/8973/28394/28822/28518/28661/28791/28581/28388/28449/28670/28448/28682/28583/28689/28793/28577/28913/28673/285643/28942/28569/54102/4920/28457/28461/2266/28816/28620/6289/28616/28400/28420/28781/28823/28674/28619/28923/28797/28677/28817/28442/28606/28902/7138/2244/28803/28576/28602/28439/28434/28412/28392/28908/28815/10882/8941/28683/3822/1289/1278/28813/338/28299/28568/28919/3624/28658/100423062/6664/28653/3539/28671/28558/2243/6978/9358/28775/1300/4060/28611/28557/3502/1281/4224/3503/83416/9447/838/28912/28589/3494/2900/56901/1311/28409/2903/72/3514/3500/3250/7036/3501/861/28614/28603/100131208/3538/1295/3493/28586/8701/28410/3559/9096/28820"
