"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0006081","BP","GO:0006081","cellular aldehyde metabolic process",10,-0.654713220598742,-2.35924944490325,0.00268096514745308,0.0391706789086702,0.0286013432416558,218,"tags=90%, list=11%, signal=80%","3418/8912/8659/3795/22977/189/64902/58510/229"
"GO:0006855","BP","GO:0006855","drug transmembrane transport",10,-0.579636127738311,-2.08871024684957,0.00268096514745308,0.0391706789086702,0.0286013432416558,228,"tags=60%, list=12%, signal=53%","64220/3766/146802/1244/64849/10991"
"GO:0009062","BP","GO:0009062","fatty acid catabolic process",10,-0.711340082744829,-2.56330350839473,0.00268096514745308,0.0391706789086702,0.0286013432416558,148,"tags=70%, list=8%, signal=65%","66002/1579/4051/51179/5105/8529/2168"
"GO:0009132","BP","GO:0009132","nucleoside diphosphate metabolic process",10,-0.571038607222138,-2.05772920833201,0.00268096514745308,0.0391706789086702,0.0286013432416558,139,"tags=50%, list=7%, signal=47%","2819/2103/5313/6521/229"
"GO:0010043","BP","GO:0010043","response to zinc ion",10,-0.566968810627114,-2.04306375625989,0.00268096514745308,0.0391706789086702,0.0286013432416558,526,"tags=80%, list=27%, signal=59%","8836/5350/760/445/7780/3795/4495/4496"
"GO:0019674","BP","GO:0019674","NAD metabolic process",10,-0.658210029177508,-2.3718501431003,0.00268096514745308,0.0391706789086702,0.0286013432416558,242,"tags=70%, list=12%, signal=62%","27231/9390/554235/2819/5313/23475/229"
"GO:0030170","MF","GO:0030170","pyridoxal phosphate binding",10,-0.611616692383501,-2.20395174039671,0.00268096514745308,0.0391706789086702,0.0286013432416558,497,"tags=90%, list=26%, signal=67%","84706/18/2571/213/1644/2875/64850/189/64902"
"GO:0043401","BP","GO:0043401","steroid hormone mediated signaling pathway",10,-0.629149377593361,-2.26713051325118,0.00268096514745308,0.0391706789086702,0.0286013432416558,726,"tags=100%, list=37%, signal=63%","4838/8928/7421/9970/2692/55885/6422/2103/8431"
"GO:0044438","CC","GO:0044438","microbody part",10,-0.676460253296149,-2.43761455684146,0.00268096514745308,0.0391706789086702,0.0286013432416558,281,"tags=90%, list=14%, signal=77%","2180/641372/1610/122970/9066/189/51268/51179/2168"
"GO:0044439","CC","GO:0044439","peroxisomal part",10,-0.676460253296149,-2.43761455684146,0.00268096514745308,0.0391706789086702,0.0286013432416558,281,"tags=90%, list=14%, signal=77%","2180/641372/1610/122970/9066/189/51268/51179/2168"
